"HID"	"Gene.Symbol"	"Taxonomy"	"Gene.ID"
3	"acdh-8"	6239	173979
3	"acdh-7"	6239	181758
5	"acdh-12"	6239	174180
6	"kat-1"	6239	174161
6	"T02G5.4"	6239	187992
13	"R04B3.2"	6239	180550
35	"cua-1"	6239	176770
39	"tag-173"	6239	172539
77	"cpt-2"	6239	178025
84	"dld-1"	6239	178387
85	"dpyd-1"	6239	180818
94	"W01A11.1"	6239	179036
96	"Y66D12A.15"	6239	176584
100	"CELE_F27D4.1"	6239	172535
110	"fah-1"	6239	180918
115	"fum-1"	6239	176059
119	"W03G11.3"	6239	189173
124	"CELE_C29E4.10"	6239	183002
126	"ZK1058.3"	6239	175506
129	"CELE_T04A8.7"	6239	3565201
130	"CELE_F54D5.7"	6239	174768
132	"cat-4"	6239	179472
141	"R12C12.1"	6239	174012
142	"glc-2"	6239	172103
145	"gpi-1"	6239	173227
148	"gss-1"	6239	174493
149	"msh-6"	6239	171914
152	"ech-1"	6239	180037
152	"T08B2.7"	6239	172310
153	"B0303.3"	6239	176216
156	"hgo-1"	6239	172726
159	"Y71G12B.10"	6239	171738
197	"lig-1"	6239	179502
221	"gana-1"	6239	179660
223	"ptc-1"	6239	174274
223	"ptc-3"	6239	173631
223	"ptc-2"	6239	191745
227	"K02D7.1"	6239	176851
231	"C16A3.10"	6239	175908
234	"pah-1"	6239	174401
236	"pcca-1"	6239	181026
239	"K12C11.1"	6239	171704
240	"prx-12"	6239	181331
246	"C14B9.8"	6239	176149
247	"Y67D8A.2"	6239	177092
257	"CELE_F52B11.2"	6239	178364
268	"ptps-1"	6239	181823
270	"prx-5"	6239	174392
271	"qdpr-1"	6239	176762
285	"sgn-1"	6239	184162
286	"nkcc-1"	6239	3565648
286	"nkcc-1"	6239	13200504
307	"cat-2"	6239	173411
324	"F55B11.1"	6239	178381
331	"dif-1"	6239	177530
344	"Y50D7A.2"	6239	175190
347	"gale-1"	6239	173171
352	"T25G3.4"	6239	172509
358	"dhs-28"	6239	180950
371	"lis-1"	6239	176758
372	"mvk-1"	6239	175863
377	"C05C10.3"	6239	174548
379	"bli-4"	6239	172333
392	"sod-1"	6239	174141
392	"sod-5"	6239	173776
393	"par-4"	6239	180185
394	"suox-1"	6239	181638
409	"CELE_F25B4.1"	6239	178960
413	"T19B4.3"	6239	172232
437	"hex-1"	6239	180533
443	"T13C2.6"	6239	174116
447	"pccb-1"	6239	180596
457	"asm-2"	6239	181323
530	"sod-2"	6239	172632
530	"sod-3"	6239	181748
