HID	Gene.Symbol	Taxonomy	Gene.ID
3	NA	6239	173979
3	NA	6239	181758
3	NA	7227	38864
3	NA	7955	406283
3	NA	9544	705168
3	NA	9606	34
3	NA	10090	11364
3	NA	10116	24158
5	NA	6239	174180
5	NA	7227	37217
5	NA	7955	573723
5	NA	9606	37
5	NA	10090	11370
5	NA	10116	25363
6	NA	6239	174161
6	NA	6239	187992
6	NA	7227	31695
6	NA	7955	445290
6	NA	9544	707653
6	NA	9606	38
6	NA	10090	110446
6	NA	10116	25014
7	NA	7227	35731
7	NA	7955	30615
7	NA	9544	697935
7	NA	9606	90
7	NA	10090	11477
7	NA	10116	79558
9	NA	9544	704493
9	NA	9606	6442
9	NA	10090	20391
9	NA	10116	303468
12	NA	7227	42051
12	NA	7955	334431
12	NA	9606	158
12	NA	10090	11564
12	NA	10116	315150
13	NA	6239	180550
13	NA	7227	35989
13	NA	7227	37211
13	NA	7955	566517
13	NA	9544	699740
13	NA	9606	175
13	NA	10090	11593
13	NA	10116	290923
14	NA	7955	322485
14	NA	9544	714203
14	NA	9606	183
14	NA	10090	11606
14	NA	10116	24179
16	NA	7227	39402
16	NA	7955	550338
16	NA	9544	705193
16	NA	9606	210
16	NA	10090	17025
16	NA	10116	25374
17	NA	7227	37815
17	NA	7955	64607
17	NA	9544	704727
17	NA	9606	212
17	NA	10090	11656
17	NA	10116	25748
20	NA	7955	393867
20	NA	9544	708801
20	NA	9606	270
20	NA	10090	229665
20	NA	10116	25028
26	NA	9606	350
26	NA	10090	11818
26	NA	10116	287774
27	NA	7955	768248
27	NA	9544	574332
27	NA	9606	355
27	NA	10090	14102
27	NA	10116	246097
28	NA	9544	574293
28	NA	9606	367
28	NA	10090	11835
28	NA	10116	24208
29	NA	7955	570368
29	NA	9544	710410
29	NA	9606	383
29	NA	10090	11846
29	NA	10116	29221
32	NA	7227	3771738
32	NA	7955	393423
32	NA	9606	435
32	NA	10090	109900
32	NA	10116	59085
33	NA	7955	557232
33	NA	9544	706170
33	NA	9606	443
33	NA	10090	11484
33	NA	10116	79251
35	NA	6239	176770
35	NA	7227	32142
35	NA	7955	564924
35	NA	9606	538
35	NA	10090	11977
35	NA	10116	24941
39	NA	6239	172539
39	NA	7227	3355069
39	NA	7955	569980
39	NA	9606	594
39	NA	10090	12040
39	NA	10116	29711
41	NA	9544	721981
41	NA	9606	675
41	NA	10090	12190
41	NA	10116	360254
44	NA	7955	567801
44	NA	9544	703928
44	NA	9606	710
44	NA	10090	12258
44	NA	10116	295703
45	NA	7955	563828
45	NA	9606	717
45	NA	10090	12263
45	NA	10116	24231
47	NA	7955	393611
47	NA	9544	696266
47	NA	9606	729
47	NA	10090	12274
47	NA	10116	24237
48	NA	7955	793127
48	NA	9544	716155
48	NA	9606	732
48	NA	10090	110382
48	NA	10116	313421
52	NA	7955	447832
52	NA	9544	707913
52	NA	9606	825
52	NA	10090	12335
52	NA	10116	29155
55	NA	9544	705270
55	NA	9606	917
55	NA	10090	12502
55	NA	10116	300678
56	NA	9544	574160
56	NA	9606	959
56	NA	10090	21947
56	NA	10116	84349
59	NA	7955	30725
59	NA	9544	698578
59	NA	9606	1134
59	NA	10090	11435
59	NA	10116	79557
60	NA	9544	710301
60	NA	9606	1145
60	NA	10090	11448
60	NA	10116	29422
61	NA	7955	100150726
61	NA	9544	718051
61	NA	9606	1130
61	NA	10090	17101
61	NA	10116	85419
62	NA	7955	449811
62	NA	9606	1161
62	NA	10090	71991
62	NA	10116	310071
63	NA	7955	567478
63	NA	7955	795133
63	NA	9544	703944
63	NA	9606	1180
63	NA	10090	12723
63	NA	10116	25688
65	NA	7955	393353
65	NA	9544	703476
65	NA	9606	1188
65	NA	10090	12733
65	NA	10116	79425
69	NA	7955	336471
69	NA	9544	700359
69	NA	9606	1278
69	NA	10090	12843
69	NA	10116	84352
73	NA	7955	100332562
73	NA	9606	1294
73	NA	10090	12836
73	NA	10116	301012
74	NA	7227	33941
74	NA	7955	100318854
74	NA	9544	720286
74	NA	9606	1311
